Student ID,First Name,Last Name,Date of Birth,Class Name,Score
1.0,Gina,Gislason,2004-01-08,Class2,56.0
2.0,Ervin,Metz,2009-02-06,Class3,66.0
3.0,Cari,Pfeffer,2005-02-06,Class4,59.0
4.0,Sommer,Boyle,2005-12-21,Class5,66.0
5.0,Linette,Schulist,2007-02-13,Class1,72.0
6.0,Santos,Jacobson,2010-10-16,Class2,59.0
7.0,Brad,Gorczany,2005-12-27,Class3,56.0
8.0,Charles,Moen,2010-03-15,Class4,58.0
9.0,Ela,MacGyver,2010-03-27,Class5,58.0
10.0,Marquitta,Johnson,2002-11-20,Class1,66.0
11.0,Dewitt,Schimmel,2007-08-25,Class2,69.0
12.0,Vince,Doyle,2009-09-13,Class3,73.0
13.0,Leontine,Heidenreich,2003-08-18,Class4,66.0
14.0,Lavelle,Hudson,2001-04-12,Class5,72.0
15.0,Werner,Oberbrunner,2006-11-15,Class1,57.0
16.0,Florencio,Herzog,2000-04-01,Class2,58.0
17.0,Julius,Larkin,2003-06-19,Class3,64.0
18.0,Mignon,Stracke,2002-12-26,Class4,65.0
19.0,Trey,Leffler,2003-07-15,Class5,63.0
20.0,Nikita,Steuber,2007-12-03,Class1,56.0
21.0,Damien,Runolfsdottir,2004-12-12,Class2,69.0
22.0,John,Mosciski,2004-04-09,Class3,59.0
23.0,Jonas,Jones,2002-01-09,Class4,70.0
24.0,Damien,Weissnat,2004-04-13,Class5,67.0
25.0,Branden,Reynolds,2005-12-31,Class1,68.0
26.0,Anja,Mills,2009-03-21,Class2,68.0
27.0,Lean,Lakin,2001-02-14,Class3,60.0
28.0,Pok,Leannon,2004-08-23,Class4,55.0
29.0,Le,Schulist,2009-10-25,Class5,67.0
30.0,Tommye,Schmeler,2003-07-09,Class1,58.0
31.0,Edith,Ortiz,2006-12-06,Class2,62.0
32.0,Rosario,Huel,2001-07-03,Class3,59.0
33.0,Traci,Williamson,2007-05-12,Class4,59.0
34.0,Juliana,Shields,2002-04-18,Class5,73.0
35.0,Roselle,Christiansen,2003-02-13,Class1,69.0
36.0,Cole,Lockman,2010-09-09,Class2,66.0
37.0,Lashunda,Hills,2008-07-12,Class3,59.0
38.0,Henry,Nader,2009-06-10,Class4,55.0
39.0,Joella,Monahan,2006-09-04,Class5,71.0
40.0,Cherri,Kulas,2006-04-15,Class1,65.0
41.0,Yuette,Konopelski,2008-11-08,Class2,74.0
42.0,Verena,Weissnat,2009-11-01,Class3,64.0
43.0,Carolynn,McCullough,2000-07-23,Class4,60.0
44.0,Randy,Sipes,2007-04-16,Class5,55.0
45.0,Jovan,Gleichner,2001-07-15,Class1,63.0
46.0,Karri,Hill,2002-12-16,Class2,57.0
47.0,Cliff,Ernser,2002-12-16,Class3,72.0
48.0,Eduardo,Daniel,2006-03-31,Class4,59.0
49.0,Tamie,Legros,2009-01-09,Class5,63.0
50.0,Jeremiah,Willms,2009-10-07,Class1,55.0
51.0,Bettyann,Brown,2004-04-21,Class2,66.0
52.0,Joel,Renner,2005-01-30,Class3,65.0
53.0,Simon,Moen,2000-12-08,Class4,73.0
54.0,Rosaria,Tillman,2005-11-01,Class5,59.0
55.0,Man,Larkin,2002-05-15,Class1,65.0
56.0,Wilfred,Hyatt,2008-08-15,Class2,74.0
57.0,Kazuko,Mante,2006-02-26,Class3,61.0
58.0,Oscar,Satterfield,2008-07-29,Class4,74.0
59.0,Alec,Murphy,2007-08-18,Class5,73.0
60.0,Noah,Hirthe,2005-03-26,Class1,65.0
61.0,Alpha,O'Keefe,2003-09-02,Class2,58.0
62.0,Johnie,Stroman,2003-11-07,Class3,56.0
63.0,Kizzie,Morar,2000-04-29,Class4,66.0
64.0,Bart,Auer,2005-10-09,Class5,64.0
65.0,Al,Cartwright,2003-03-02,Class1,57.0
66.0,Asley,Gutkowski,2009-05-27,Class2,73.0
67.0,Adrian,Brown,2000-12-29,Class3,60.0
68.0,Rodrigo,Witting,2000-12-22,Class4,64.0
69.0,Greta,Berge,2006-08-01,Class5,74.0
70.0,Lexie,Grady,2010-12-13,Class1,70.0
71.0,Dewey,Grant,2008-08-14,Class2,74.0
72.0,Berenice,Upton,2010-09-09,Class3,68.0
73.0,Constance,Schaden,2008-10-25,Class4,65.0
74.0,Eustolia,Lind,2001-08-06,Class5,63.0
75.0,Elden,Romaguera,2008-03-25,Class1,61.0
76.0,Santos,Muller,2001-09-11,Class2,58.0
77.0,Fallon,Lakin,2002-03-06,Class3,68.0
78.0,Adrian,Hill,2003-10-07,Class4,59.0
